category,material,dimensions_volume,listed_price,source
Woodwork,Teak Wood,4500,2499.00,"SAMPLE DATA - Handcarved Teak Elephant 8in"
Woodwork,Sheesham Wood,8000,3200.00,"SAMPLE DATA - Wooden Spice Box 12 Compartments"
Pottery,Terracotta Clay,3500,650.00,"SAMPLE DATA - Traditional Terracotta Water Pitcher"
Pottery,Glazed Ceramic,2200,899.00,"SAMPLE DATA - Ceramic Hand-painted Chai Cup Set 6pcs"
Brasscraft,Solid Brass,1800,2150.00,"SAMPLE DATA - Hand-engraved Brass Diya 6in"
Brasscraft,Bell Metal (Bronze),3200,4500.00,"SAMPLE DATA - Dhokra Brass Tribal Figurine"
Textile,Khadi Cotton,1200,1450.00,"SAMPLE DATA - Handwoven Block Print Cotton Dupatta"
Textile,Mulberry Silk,1500,5800.00,"SAMPLE DATA - Handloom Paithani Border Silk Stole"
Furniture,Rosewood,125000,18500.00,"SAMPLE DATA - Hand-carved Accent Stool Chowki"
Metal,Forged Iron,6400,1250.00,"SAMPLE DATA - Hand-forged Iron Hanging Lantern"
